日期,货源ID,司机ID,录音ID,录音时间,整车车长,是否成交,是否该司机成交,模型预测价格,司机净收入,司机出价,货主出价,定金,信息费,是否信息部,零担,备注,司机车长,司机车型,货源重量,货源体积,装卸方式,出发地区,到达地区,装货日期,装货时间,卸货日期,卸货时间,货物名称
20190625,1.24E+13,,,2019/6/25 14:15,9.6,1,1,,2500,,2500,,,,,,,,8,55,,经济开发区,浦东,20190626,,,,
20190625,1.24E+13,,,2019/6/25 14:59,9.6,0,0,,,,2300,,,,,9.6箱车,9.6,厢式,9,0,,蜀山区,奉贤区,,,,,
20190625,1.24E+13,,,2019/6/25 15:41,13,0,0,,,,,,,,2,司机要130/吨,,,50,0,,蜀山区,浦东,,,,,
20190625,1.24E+13,,,2019/6/25 15:08,9.6,0,0,,,,1800,,,,2,轮胎,,,6,0,,蜀山区,嘉定区,,,,,
20190625,1.24E+13,,,2019/6/25 16:00,9.6,0,0,,,,2000,,,,1,,,,9.2,0,,蜀山区,奉贤区,,,,,
20190625,1.24E+13,,,2019/6/25 15:03,9.6,1,1,,,,,,,,2,,,,1,20,,新站综合开发试验区,浦东,20190626,上午,20190626,晚上,
20190625,1.24E+13,,,2019/6/26 10:27,9.6,0,0,,,,,,,,,托盘进仓，9.6高栏可以打掉一边,,,15,42,,经济开发区,浦东,,,,,
20190625,1.24E+13,,,2019/6/25 15:10,4.2,1,1,,1500,,1500,,,,,时间要求，不需要签单，快递,,,2,0,,肥西县,浦东,20190625,晚上,20190626,下午,
20190625,1.24E+13,,,2019/6/25 16:04,6.8,0,0,,,,1600,,,,2,,,,10,0,,巢湖市,松江区,20190625,,,,
20190625,1.24E+13,,,2019/6/25 15:29,9.6,0,0,,,,3000,200,,,2,司机13米平板，托板货纸箱不淋雨盖雨布，2米,,,15,45,,经济开发区,浦东,,,,,
20190625,1.24E+13,,,2019/6/25 15:39,9.6,0,0,,,,2200,200,,,2,9.6箱车，有禁区，一装一卸,9.6,厢式,9,0,,蜀山区,奉贤区,20190626,,,,
20190625,1.24E+13,,,2019/6/25 16:03,6.8,0,0,,,,1700,,,,2,,,,10,0,,合肥市,松江区,20190626,,,,
20190625,1.24E+13,,,2019/6/25 16:25,13,0,0,,,,3000,,,,2,,13.5,高栏,22,0,,巢湖市,嘉定区,20190625,晚上,,,
20190625,1.24E+13,,,2019/6/25 16:09,4.2,0,0,,,,1300,,,,2,,,,3,0,,长丰县,青浦区,,,,,
20190625,1.24E+13,,,2019/6/25 16:17,9.6,0,0,,,,2400,,,,2,,,,9,0,,蜀山区,奉贤区,,,,,
20190625,1.24E+13,,,2019/6/26 7:35,17.5,0,0,,,,4000,,,,,司机会确认厂里提供的枕木是否要钱,,,26,0,,瑶海区,普陀区,,,,,
20190625,1.24E+13,,,2019/6/25 16:39,4.2,1,1,,1500,,1500,,100,,2,吨位,,,2,0,,肥西县,浦东,,,,,
20190625,1.24E+13,,,2019/6/25 16:37,6.8,0,0,,,,1700,,,,2,,,,10,0,,巢湖市,松江区,20190625,,,,
20190625,1.24E+13,,,2019/6/25 17:12,13,0,0,,,,2000,,,,1,1、12.5米平厢,12.5,,8,0,,蜀山区,嘉定区,20190626,上午,,,
20190625,1.24E+13,,,2019/6/26 7:53,4.2,0,0,,,,1600,,,,,危险品,,,5,0,,肥东县,浦东,,,,,
20190625,1.24E+13,,,2019/6/25 16:35,4.2,1,1,,1000,,1000,,,,1,车型,,,0,12,,经济开发区,南汇区,20190625,晚上,,,
20190625,1.24E+13,,,2019/6/26 7:44,6.8,0,0,,,,400,,,,1,,,,6,0,,肥东县,嘉定区,20190626,,,,
20190625,1.24E+13,,,2019/6/25 20:59,13,0,0,,,,3200,,,,,"1、13米车
2、25吨钢材
3、今天装",,,50,0,,蜀山区,浦东,20190625,晚上,,,
20190625,1.24E+13,,,2019/6/25 16:59,4.2,0,0,,,,,,,,1,是否空车,,,6,15,,蜀山区,浦东,20190625,晚上,,,
20190625,1.24E+13,,,2019/6/26 8:00,9.6,0,0,,,,,,100,,,回单审核7-15个工作日付款，有客服跟进异常,,,10,47,,经济开发区,嘉定区,,,,,
20190625,1.24E+13,,,2019/6/25 17:10,13,0,0,,,,2000,,,,1,需要进仓,,,20,0,,肥东县,浦东,20190625,,,,
20190625,1.24E+13,,,2019/6/25 17:00,13,0,0,,,,2500,,,,1,"1、12.5米
2、合肥加工区-上海浦东机场
3、好装好卸
4、运费回单付",,,0,40,,肥西县,浦东,20190626,下午,,,
20190625,1.24E+13,,,2019/6/25 17:08,13,1,1,,3600,,3600,200,,,,"1、13米平板
2、毛重34吨，一车要能装走
3、好装好卸、随时卸
4、收到回单退定金",13,平板,34,0,,肥西县,浦东,20190626,下午,,,
20190625,1.24E+13,,,2019/6/25 17:25,6.8,1,1,,1800,,1800,,,,,装25吨，若装货超25吨运费可增加,,,6,0,,庐阳区,松江区,,,,,
20190625,1.24E+13,,,2019/6/25 18:15,4.2,0,0,,,,1300,,,,,"1、夜里2点装
2、1吨多
3、装木箱，2个",,,2,0,,长丰县,浦东,20190626,下午,,,
20190625,1.24E+13,,,2019/6/25 17:48,4.2,0,0,,,,600,,,,1,"1、夜里12点左右装、明天上午卸
2、4.2米厢车
3、货物不到1吨",,,1,6,,巢湖市,嘉定区,20190625,晚上,20190626,下午,
20190625,1.24E+13,,,2019/6/25 18:02,17.5,0,0,,,,3800,,,,,"1、进仓费不需要司机垫
2、明天下午1点必须到",,,15,110,,庐阳区,浦东,20190625,晚上,20190626,下午,
20190625,1.24E+13,,,2019/6/25 18:15,13,1,1,,3200,,3200,,,,2,"1、13米平板，60公分拦板，司机在合肥；
2、装叉车和龙门架，2.875米；
3、两装两卸，共计20吨；
4、叉车过高有罚款的危险",13,平板,20,0,两装两卸,经济开发区,松江区,,,,,
20190625,1.24E+13,,,2019/6/25 19:02,13,0,0,,,,3600,,,,,"1、6台叉车
2、平板车，2.4米宽
3、需要会绑绳子，不然不固定
4、明天下午装",,,27,0,,经济开发区,宝山区,20190626,下午,,,
20190625,1.24E+13,,,2019/6/26 16:20,4.2,0,0,,,,1000,,,,1,司机觉得价格低，不愿意承运,,,4,0,,长丰县,金山区,,,,,
20190625,1.24E+13,,,2019/6/25 22:12,9.6,0,0,,,,1900,,,,1,,,,5,0,,肥西县,浦东,20190626,下午,,,
20190625,1.24E+13,,,2019/6/25 21:01,6.8,0,0,,,,1600,,,,1,,,,10,0,,合肥市,松江区,,,,,
20190625,1.24E+13,,,2019/6/26 9:04,9.6,0,0,,,,2400,,,,,,,,12,0,,庐阳区,宝山区,,,,,
20190625,1.24E+13,,,2019/6/26 9:09,6.8,0,0,,,,1000,,,,1,,,,3,0,,肥西县,金山区,,,,,
20190625,1.24E+13,,,2019/6/25 21:22,4.2,0,0,,,,1300,,,,,价格没有谈好，司机觉得价格低,,,3,0,,蜀山区,嘉定区,20190626,晚上,,,
20190625,1.24E+13,,,2019/6/25 22:01,17.5,0,0,,,,3500,,,,2,,,,28,0,,瑶海区,闵行区,20190626,下午,,,
20190625,1.24E+13,,,2019/6/25 23:11,9.6,0,0,,,,2300,,,,2,,,,18,0,,巢湖市,嘉定区,20190626,上午,20190627,,
20190625,1.24E+13,,,2019/6/25 21:24,4.2,1,1,,1400,,1400,,100,,,,,,6,0,,肥东县,浦东,20190626,上午,20190626,晚上,
