日期,货源ID,司机ID,录音ID,录音时间,整车车长,是否成交,是否该司机成交,模型预测价格,司机净收入,司机出价,货主出价,定金,信息费,是否信息部,零担,备注,司机车长,司机车型,货源重量,货源体积,装卸方式,出发地区,到达地区,装货日期,装货时间,卸货日期,卸货时间,货物名称
20190627,1.2449E+13,2.36517E+16,1161080,6/27/19 7:29,6.8,0,0,,,,1500,,,,1,"1、好装好卸、无禁区
2、司机垫付进仓费，货主出
3、押回单",9.6,厢式,0,28,,庐江县,浦东,20190627,,,,
20190627,1.24498E+13,2.36517E+16,1159551,6/27/19 6:50,17.5,1,1,,4000,,,,200,,,3.5 超宽,17.5,平板,18,0,,经济开发区,宝山区,20190628,中午,,,
20190627,1.24503E+13,9.64364E+16,1164290,6/27/19 8:17,4.2,1,1,,700,,,100,,,1,270进仓费货主微信转账，随时进仓,6.2,高栏,1,8,,庐江县,浦东,20190627,晚上,,,
20190627,1.24505E+13,9.64364E+16,1172402,6/27/19 10:07,13,0,0,,2800,,2800,,100,,,,13,,32,0,,巢湖市,金山区,,,,,
20190627,1.24511E+13,6.00608E+17,1161222,6/27/19 7:28,9.6,0,0,,,,2200,,,,,,9.6,厢式,15,,一装两卸,肥东县,嘉定区,20190627,,20190628,上午,
20190627,1.24514E+13,4E+18,1171697,6/27/19 9:57,4.2,1,1,,1300,,,100,,,,司机不是本人，称自己是冷藏物流公司,4.2,,6,18,,肥东县,青浦区,,,,,
20190627,1.24522E+13,6.00608E+17,1166789,6/27/19 8:53,4.2,0,0,,,,650,,,,1,1、散装零件,4.2,厢式,13,7,,合肥市,嘉定区,,,,,
20190627,1.24524E+13,9.58194E+16,1163316,6/27/19 8:07,17.5,1,1,,3800,,,,,,,,,,5,0,,高新技术开发区,闵行区,,,,,
20190627,1.24526E+13,9.64364E+16,1164661,6/27/19 8:26,9.6,0,0,,,1600,1600,,,,1,,7.7,厢式,5,0,,瑶海区,嘉定区,,,,,
20190627,1.24528E+13,9.58194E+16,1165154,6/27/19 8:33,9.6,0,0,,,2200,1900,,,,,,,,6,0,,肥西县,奉贤区,,,,,
20190627,1.24528E+13,6.00608E+17,1164707,6/27/19 8:27,4.2,1,1,,1100,,,,,,1,货主一开始给900，后来50分钟没有找到车，中间加价2次，最后涨到1100,7.8,飞翼车,2,4,,肥西县,浦东,,,,,
20190627,1.24529E+13,9.63153E+16,1165191,6/27/19 8:33,13,0,0,,,,2200,200,,,1,,12.5,厢式,8,0,一装一卸,蜀山区,嘉定区,20190628,,,,
20190627,1.24534E+13,2.34298E+16,1164991,6/27/19 8:31,9.6,0,0,,,,2100,100,,,,方便面,9.6,高栏,5,53,,合肥市,金山区,,,,,
20190627,1.24535E+13,9.64364E+16,1174885,6/27/19 10:40,9.6,1,1,,1200,,,100,,,,有禁区、货主垫资,4.2,平板,17,0,,经济开发区,浦东,,,,,
20190627,1.2454E+13,2.34298E+16,1166704,6/27/19 8:52,13,0,0,,,,3000,,,,,,9.6,厢式,6,65,,肥西县,奉贤区,,,,,
20190627,1.24542E+13,2.36517E+16,1167150,6/27/19 8:57,6.8,0,0,,,,500,,50,,1,,,,0,7,,长丰县,浦东,,,,,
20190627,1.24543E+13,2.34298E+16,1173646,6/27/19 10:24,6.8,0,0,,,,1700,,,,,1、一装两卸，司机要价提高,6.8,高栏,11,0,一装两卸,经济开发区,金山区,,,,,
20190627,1.24544E+13,2.36517E+16,1166545,6/27/19 8:50,13,0,0,,,,3000,,,,2,,13,平板,33,0,,巢湖市,闵行区,,,,,
20190627,1.24553E+13,6.00608E+17,1168914,6/27/19 9:20,6.8,0,0,,,,2000,,,,,两装两卸司机询问具体的装卸货地址,,,0,40,,庐江县,浦东,,,,,
20190627,1.24554E+13,6.00608E+17,1169190,6/27/19 9:19,6.8,0,0,,,,1000,,,,1,1.22*1.02*1.24，3个托盘,7.6,高栏,2.2,0,,瑶海区,南汇区,,,,,
