日期,货源ID,司机ID,录音ID,录音时间,整车车长,是否成交,是否该司机成交,模型预测价格,司机净收入,司机出价,货主出价,定金,信息费,是否信息部,零担,备注,司机车长,司机车型,货源重量,货源体积,装卸方式,出发地区,到达地区,装货日期,装货时间,卸货日期,卸货时间,货物名称
20190703,12600334820621 ,4000000000001290000 ,1396849,2019/7/3 19:25,4.2,1,1,,1200,,,,100,,,#绿通#压车#,4.2,高栏,7,0,一装一卸,巢湖市,嘉定区,20190704,,,,绿通鲜玉米（免高速费）
20190703,12581541143442 ,96380588055349400 ,1371298,2019/7/3 8:51,9.6,1,1,,2200,,,,100,1,1,十几个方，押回单三百,9.6,高栏,15,0,,合肥市,奉贤区,,,,,吨包需回单占4.5米位，急走
20190703,12581541143442 ,23651742483890000 ,1364535,2019/7/3 6:37,9.6,1,0,,,,2200,,,,,,17.5,高栏,15,0,,合肥市,奉贤区,,,,,吨包需回单占4.5米位，急走
20190703,12582947248251 ,96380588055349400 ,1372928,2019/7/3 9:17,6.8,1,1,,1200,,1200,100,,,,,9.6,高栏,8,24,一装一卸,瑶海区,嘉定区,20190703,下午,,,纸箱货
20190703,12589973620615 ,96436390415628300 ,1379401,2019/7/3 11:07,9.6,1,0,,,,2500,,,,,1000油卡,12.5,平板,20,0,一装一卸,高新技术开发区,闵行区,20190703,,,,托盘装薄膜
20190703,12585010180621 ,96436391652785300 ,1372029,2019/7/3 8:59,4.2,1,1,,1400,,1400,,,,,#进仓#,6.8,高栏,1,20,一装一卸,庐江县,浦东,20190703,,,,服装
20190703,12581439104541 ,600608457609138000 ,1366274,2019/7/3 7:28,4.2,1,1,,1500,,,,,,2,#绿通#压车#,4.2,高栏,7,0,一装一卸,肥东县,青浦区,20190703,下午,,,桃子免过路费
20190703,12599322601053 ,96380588022029000 ,1395214,2019/7/3 18:10,9.6,1,0,,,,,,,,,,12.5,厢式,16,0,一装一卸,包河区,浦东,20190704,,,,设备
20190703,12580725527978 ,15103257713318600 ,1364767,2019/7/3 6:45,6.8,0,0,,,,,,,1,1,双飞，到付,9.6,厢式,6,0,一装一卸,肥东县,浦东,,,,,成品木拖盘
20190703,12580725527978 ,96268191753807700 ,1363808,2019/7/3 5:41,6.8,0,0,,,1800,1600,,,1,1,只有6米位置,6.8,高栏,6,0,一装一卸,肥东县,浦东,,,,,成品木拖盘
20190703,12580725527978 ,23429835900813600 ,1365296,2019/7/3 7:03,6.8,0,0,,,1900,,,,,1,,6.8,高栏,6,0,一装一卸,肥东县,浦东,,,,,成品木拖盘
20190703,12581046648350 ,600608457543868000 ,1364597,2019/7/3 6:39,4.2,0,0,,,,1200,,100,1,1,,6.2,冷藏,5.5,0,,庐江县,嘉定区,,,,,蔬菜
20190703,12581267264541 ,4000000000001620000 ,1366912,2019/7/3 7:44,4.2,0,0,,,,,,,,,车已定好,7.7,冷藏,7,0,一装一卸,肥东县,青浦区,20190703,,,,桃子免过路费
20190703,12581267264541 ,15118820081914500 ,1366376,2019/7/3 7:30,4.2,0,0,,,,1300,,,,,,4.2,高栏,7,0,一装一卸,肥东县,青浦区,20190703,,,,桃子免过路费
20190703,12581336637978 ,96380588049715200 ,1382266,2019/7/3 12:05,6.8,0,0,,,2000,1600,,,,1,货到付款,8.7,飞翼车,6,0,一装一卸,肥东县,浦东,,,,,木拖盘
20190703,12581336637978 ,600608457499799000 ,1385254,2019/7/3 13:26,6.8,0,0,,,,1600,,,,,,9.6,飞翼车,6,0,一装一卸,肥东县,浦东,,,,,木拖盘
20190703,12581336637978 ,600608457607108000 ,1385807,2019/7/3 13:40,6.8,0,0,,,1700,1600,,,,,,7.7,飞翼车,6,0,一装一卸,肥东县,浦东,,,,,木拖盘
20190703,12581336637978 ,600608457538075000 ,1369838,2019/7/3 8:32,6.8,0,0,,,,,,,,,不好装货,9.6,厢式,6,0,一装一卸,肥东县,浦东,,,,,木拖盘
20190703,12581381609553 ,96436391273378200 ,1369725,2019/7/3 8:30,9.6,0,0,,,,2800,,100,1,2,,9.6,高栏,18,0,一装一卸,肥西县,松江区,20190703,,,,设备举升机
20190703,12594256427129 ,600608457538075000 ,1386501,2019/7/3 14:05,6.8,1,1,,1500,,,100,,,,货到付款,7.8,厢式,0,24,一装一卸,肥西县,浦东,20190703,,20190703,晚上,猫爬架
20190703,12581778319633 ,600608457612321000 ,1371167,2019/7/3 8:51,6.8,1,0,,,1800,1600,,,,,,6.8,高栏,7,0,一装一卸,庐阳区,浦东,20190703,,,,轮胎
20190703,12582067031616 ,600608457582323000 ,1377327,2019/7/3 10:29,6.8,1,1,,1600,,,,,,,未涉及信息费和定金,7.2,厢式,8,0,一装一卸,肥东县,宝山区,20190703,,,,服装等托盘
20190703,12581778319633 ,4000000000000820000 ,1372107,2019/7/3 9:05,6.8,1,0,,,,,,,,,,6.8,高栏,7,0,一装一卸,庐阳区,浦东,20190703,,,,轮胎
20190703,12581778319633 ,600608457444501000 ,1365496,2019/7/3 7:10,6.8,1,0,,,,1600,,,,,,6.8,高栏,7,0,一装一卸,庐阳区,浦东,20190703,,,,轮胎
20190703,12582067031616 ,600608457444501000 ,1364901,2019/7/3 6:51,6.8,1,0,,,,1500,,,,,,6.8,高栏,8,0,一装一卸,肥东县,宝山区,20190703,,,,服装等托盘
20190703,12582067031616 ,96436390441968900 ,1374300,2019/7/3 9:41,6.8,1,0,,,,1600,,,,,,13,平板,8,0,一装一卸,肥东县,宝山区,20190703,,,,服装等托盘
20190703,12584897587464 ,96268191753807700 ,1369034,2019/7/3 8:18,6.8,1,1,,1600,,,,100,1,,,6.8,高栏,10,0,一装一卸,肥东县,青浦区,20190703,下午,,,装西瓜，全程免过路费，下午装
20190703,12582067031616 ,600608457608971000 ,1368886,2019/7/3 8:17,6.8,1,0,,,,1500,,,,,,9.6,厢式,8,0,一装一卸,肥东县,宝山区,,,,,服装等托盘
20190703,12582067031616 ,23651742484202200 ,1365209,2019/7/3 7:01,6.8,1,0,,,,1500,,,,,,6.8,高栏,8,0,一装一卸,肥东县,宝山区,20190703,,,,服装等托盘
20190703,12581778319633 ,96436390432412100 ,1395579,2019/7/3 18:22,6.8,1,1,,1700,,,,100,,,20-30的保险费,6.8,高栏,7,0,一装一卸,庐阳区,浦东,20190703,,,,轮胎
20190703,12596005373239 ,23429835902692600 ,1389098,2019/7/3 15:12,6.8,1,1,,1800,,,200,,,,,6.8,高栏,11,0,,肥东县,青浦区,,,,,树苗
20190703,12582602194601 ,15103257713318600 ,1365536,2019/7/3 7:08,9.6,1,0,,,,2100,,200,,,进仓费/付款厂里付,9.6,厢式,0,49,一装一卸,长丰县,浦东,20190703,,,,鞋子
20190703,12582903367978 ,600608457539068000 ,1372066,2019/7/3 9:03,6.8,0,0,,,2000,1500,,,,,,6.8,高栏,6,0,一装一卸,肥东县,浦东,,,,,成品木拖盘
20190703,12582903367978 ,4000000000000820000 ,1373472,2019/7/3 9:27,6.8,0,0,,,2000,,,,,,占六米多位置,7,飞翼,6,0,一装一卸,肥东县,浦东,,,,,成品木拖盘
20190703,12582947248251 ,96052842979712100 ,1365941,2019/7/3 7:20,6.8,1,0,,,,1200,,,,,,6.8,高栏,8,24,一装一卸,瑶海区,嘉定区,20190703,下午,,,纸箱货
20190703,12582947248251 ,600608457610355000 ,1371602,2019/7/3 8:58,6.8,1,0,,,,1200,,,,,,6.8,厢式,8,24,一装一卸,瑶海区,嘉定区,20190703,下午,,,纸箱货
20190703,12582947248251 ,600608457553159000 ,1366194,2019/7/3 7:27,6.8,1,0,,,,1200,,,,,,7.7,厢式,8,24,一装一卸,瑶海区,嘉定区,20190703,下午,,,纸箱货
20190703,12582947248251 ,4000000000003280000 ,1372075,2019/7/3 9:04,6.8,1,0,,,,1200,,,,,,7.7,飞翼车,8,24,一装一卸,瑶海区,嘉定区,20190703,下午,,,纸箱货
20190703,12599157465221 ,96436390461894000 ,1395160,2019/7/3 18:08,9.6,1,1,,2000,,,100,,0,2,,9.6,厢式,0,52,一装一卸,蜀山区,金山区,20190704,,,,泡货
20190703,12582947248251 ,96436390441968900 ,1372323,2019/7/3 9:08,6.8,1,0,,,,1200,,,,,,13,平板,8,24,一装一卸,瑶海区,嘉定区,20190703,下午,,,纸箱货
20190703,12582947248251 ,600608457532299000 ,1370683,2019/7/3 8:45,6.8,1,0,,,,1200,,,,,,9.6,厢式,8,24,一装一卸,瑶海区,嘉定区,20190703,下午,,,纸箱货
20190703,12584306512121 ,600608457535331000 ,1367908,2019/7/3 8:00,17.5,0,0,,,,4500,,,,,,17.5,平板,31,0,一装一卸,庐阳区,嘉定区,20190703,,,,乳制品
20190703,12584365677735 ,95893334228933900 ,1384388,2019/7/3 13:03,17.5,0,0,,,,3600,,,,,,17.5,高低板,30.5,0,,合肥市,闵行区,,,,,板材
20190703,12584365677735 ,23651742484856900 ,1397160,2019/7/3 19:46,17.5,0,0,,,,3600,,,,,,17.5,高低板,30.5,0,,合肥市,闵行区,,,,,板材
20190703,12584365677735 ,23651742483899000 ,1384331,2019/7/3 12:58,17.5,0,0,,,,,,,,,听不大懂方言,17.5,高低板,30.5,0,,合肥市,闵行区,,,,,板材
20190703,12584365677735 ,96436390452657800 ,1399317,2019/7/4 6:29,17.5,0,0,,,,,,,,,都未涉及,17.5,平板,30.5,0,,合肥市,闵行区,,,,,塑胶板
20190703,12584365677735 ,4000000000000580000 ,1384707,2019/7/3 13:12,17.5,0,0,,,3900,3800,,100,1,,托盘装 、好装  加微信 货到付款,17.5,高低板,30.5,0,,合肥市,闵行区,,,,,板材
20190703,12584841722123 ,95819431531305000 ,1370584,2019/7/3 8:43,13,1,0,,,,3100,,,,,,13,平板,32,0,,合肥市,上海市,,,,,钢结构
20190703,12584841722123 ,96268191744255100 ,1369450,2019/7/3 8:24,13,1,0,,,,3100,,,,,,13,平板,32,0,,合肥市,上海市,,,,,钢结构
20190703,12584848429352 ,600608457518373000 ,1369244,2019/7/3 8:22,4.2,0,0,,,,1600,,,,,,7.7,厢式,6.6,0,一装一卸,高新技术开发区,浦东,20190703,下午,,,托盘货
20190703,12599596745796 ,96315273780813100 ,1395882,2019/7/3 18:29,9.6,1,1,,2000,,,,,,,,9.6,厢式,0,42,一装一卸,经济开发区,青浦区,20190704,上午,,,食品饼干
20190703,12584897587464 ,23651742484224400 ,1368904,2019/7/3 8:17,6.8,1,0,,,,1500,,,1,,卸货不买/免过路费,6.8,高栏,10,0,一装一卸,肥东县,青浦区,20190703,下午,,,装西瓜，全程免过路费，下午装
20190703,12600029408756 ,96268191753186200 ,1397520,2019/7/3 20:09,9.6,1,1,,2000,,,200,,,,回单付,12.5,厢式,18.5,0,,包河区,嘉定区,,,,,粮食
20190703,12585178316263 ,23651742483966200 ,1369150,2019/7/3 8:21,13,0,0,,,,3360,,100,1,,有油卡/105每吨,13,平板,32,0,一装一卸,肥东县,金山区,20190703,,,,重货吨包
20190703,12582602194601 ,96268191748399000 ,1366767,2019/7/3 7:36,9.6,1,1,,2100,,,,200,1,,到付,9.6,厢式,0,49,一装一卸,长丰县,浦东,20190703,晚上,,,鞋子
20190703,12585314103993 ,96436390995414000 ,1370935,2019/7/3 8:47,13,1,0,,,,3800,300,,,,,13.7,冷藏,30,0,一装一卸,经济开发区,青浦区,20190703,上午,20190704,,日化品
20190703,12585749452654 ,96268191736139000 ,1370097,2019/7/3 8:36,9.6,0,0,,,,2500,,200,,,,9.6,高栏,8,55,一装两卸,肥东县,浦东,20190703,,,,服装纸箱装
20190703,12585749452654 ,96436391106848300 ,1370448,2019/7/3 8:41,9.6,0,0,,,,,,,,,装不了,9.6,厢式,8,55,一装两卸,肥东县,浦东,20190703,,,,服装纸箱装
20190703,12585749452654 ,96380588065415600 ,1370032,2019/7/3 8:34,9.6,0,0,,,,2500,,200,,,运费到付，有进仓费,9.6,高栏,8,55,一装两卸,肥东县,浦东,20190703,,,,服装纸箱装
20190703,12585749452654 ,96117370309848300 ,1370775,2019/7/3 8:46,9.6,0,0,,,,2500,,,,,,9.6,高栏,8,55,一装两卸,肥东县,浦东,20190703,,,,服装纸箱装
20190703,12585865308293 ,23651742484762400 ,1370659,2019/7/3 8:44,13,0,0,,,,,,,,,未提及,13,平板,32,0,一装一卸,庐阳区,浦东,20190704,,,,重货
20190703,12585865308293 ,600608457451743000 ,1376293,2019/7/3 10:16,13,0,0,,,,,,,,,未提及,13,高低板,32,0,一装一卸,庐阳区,浦东,20190704,,,,重货
20190703,12585865308293 ,96198733851264200 ,1370737,2019/7/3 8:46,13,0,0,,,,,,,,,未提及,12.5,厢式,32,0,一装一卸,庐阳区,浦东,20190704,,,,重货
20190703,12585865308293 ,23429835901583700 ,1371892,2019/7/3 9:02,13,0,0,,,,,,,,,未提及,13,平板,32,0,一装一卸,庐阳区,浦东,20190704,,,,重货
20190703,12586057583099 ,23651742483928700 ,1393711,2019/7/3 17:25,17.5,0,0,,,,,,,,,都未涉及,17.5,平板,31,0,一装一卸,合肥市,闵行区,20190703,,,,板材
20190703,12586057583099 ,4000000000000580000 ,1384616,2019/7/3 13:10,17.5,0,0,,,,3900,,,,,,17.5,高低板,31,0,一装一卸,合肥市,闵行区,20190703,,,,板材
20190703,12586057583099 ,600608457609208000 ,1390426,2019/7/3 15:49,17.5,0,0,,,,,,,,,都未涉及,6.8,厢式,31,0,一装一卸,合肥市,闵行区,20190703,,,,板材
20190703,12586377944851 ,600608457444501000 ,1371571,2019/7/3 8:57,6.8,0,0,,,2000,1900,,,,,付款回单款,6.8,高栏,11,0,,肥西县,南汇区,20190703,下午,,,人造革
20190703,12586537239788 ,600608457607108000 ,1375965,2019/7/3 10:07,4.2,1,1,,1300,,,100,,,,两装,6.8,平板,5.5,0,两装一卸,肥西县,嘉定区,20190703,上午,,,饮料
20190703,12586588988293 ,23651742483966200 ,1371787,2019/7/3 9:00,13,0,0,,,,,,,,,,13,平板,32,0,一装一卸,庐阳区,浦东,20190704,,,,重货
20190703,12586730987069 ,4000000000000010000 ,1372506,2019/7/3 9:08,4.2,0,0,,,,1500,,,1,1,,4.2,高栏,5,0,一装一卸,肥西县,黄浦区,20190703,下午,20190704,凌晨,大理石
20190703,12586730987069 ,600608457605793000 ,1372628,2019/7/3 9:12,4.2,0,0,,,,1500,,,1,1,,4.2,平板,5,0,一装一卸,肥西县,黄浦区,20190703,下午,20190704,凌晨,大理石
20190703,12586730987069 ,600608457562543000 ,1374538,2019/7/3 9:45,4.2,0,0,,,1800,1500,,,1,,禁区,4.2,平板,5,0,一装一卸,肥西县,黄浦区,20190703,下午,20190704,凌晨,大理石
20190703,12586730987069 ,96436390986380700 ,1371837,2019/7/3 9:01,4.2,0,0,,,,1500,,,,,,4.2,厢式,5,0,一装一卸,肥西县,黄浦区,20190703,下午,20190704,凌晨,大理石
20190703,12586730987069 ,96436391432612600 ,1375525,2019/7/3 10:02,4.2,0,0,,,,1500,,,,,,4.2,高栏,5,0,一装一卸,肥西县,黄浦区,20190703,下午,20190704,凌晨,大理石
20190703,12587076593660 ,96436391638701300 ,1374956,2019/7/3 9:52,9.6,0,0,,,1900,1800,,,,,,9.6,厢式,15,0,一装一卸,瑶海区,青浦区,20190703,,,,普货
20190703,12587076593660 ,600608457528719000 ,1375714,2019/7/3 10:03,9.6,0,0,,,,1800,100,,,,不超15吨/卸货快24小时/微信付款,9.6,厢式,15,0,一装一卸,瑶海区,青浦区,20190703,,,,普货
20190703,12587158695660 ,600608457608652000 ,1373065,2019/7/3 9:19,13,0,0,,,,3200,,,,,,17.5,平板,30,0,一装一卸,长丰县,普陀区,20190703,,20190703,,钢结构
20190703,12580940931264 ,23651742484638100 ,1368558,2019/7/3 8:07,9.6,1,1,,2200,,,,100,1,,押一天车,9.6,高栏,18,0,一装一卸,巢湖市,嘉定区,20190703,,,,蔬菜
20190703,12587312526664 ,95819431531363000 ,1373119,2019/7/3 9:19,13,1,0,,,,3000,,,,,,12.5,高栏,30,0,一装一卸,经济开发区,浦东,20190704,,,,木箱
20190703,12587713251821 ,96117370309848300 ,1373376,2019/7/3 9:26,9.6,0,0,,,,,,,,,未提及,9.6,高栏,16,0,,巢湖市,奉贤区,,,,,保温板
20190703,12588121397978 ,96436390414809200 ,1379153,2019/7/3 11:02,6.8,0,0,,,,,,,,,司机车宽2.1米宽 货主要求2.3米宽,6.2,平板,6,0,一装一卸,肥东县,浦东,,,,,成品木拖盘
20190703,12588121397978 ,96436390599186900 ,1378551,2019/7/3 10:53,6.8,0,0,,,,,,,,,都未涉及,6.8,高栏,6,0,一装一卸,肥东县,浦东,,,,,成品木拖盘
20190703,12588121397978 ,4000000000002600000 ,1375419,2019/7/3 9:58,6.8,0,0,,,1500,,,,,,货主要求平板车 5米为位置,16,厢式,6,0,一装一卸,肥东县,浦东,,,,,成品木拖盘
20190703,12588132955913 ,600608457457623000 ,1373880,2019/7/3 9:33,17.5,0,0,,,3800,3600,,,,,,17.5,高低板,30,0,一装一卸,蜀山区,宝山区,20190703,,20190704,,卷钢座架
20190703,12588132955913 ,600608457535331000 ,1373940,2019/7/3 9:35,17.5,0,0,,,,3500,,,,,,17.5,平板,30,0,一装一卸,蜀山区,宝山区,20190703,,20190704,,卷钢座架
20190703,12588132955913 ,96315273751911300 ,1375735,2019/7/3 10:02,17.5,1,0,,,,3600,200,,,,,17.5,高低板,30,0,一装一卸,蜀山区,宝山区,20190703,,20190704,,卷钢座架
20190703,12588226004366 ,96436391224611600 ,1374435,2019/7/3 9:43,9.6,0,0,,,,2000,,,,,,13,平板,18,0,一装一卸,经济开发区,浦东,20190703,,,,钢板（带托盘）
20190703,12588226004366 ,96436390477080500 ,1377583,2019/7/3 10:35,9.6,0,0,,,,2200,,,,1,占地9米，不能落在一起,13,平板,18,0,一装一卸,经济开发区,浦东,20190703,,,,钢板（带托盘）
20190703,12588315954589 ,600608457535331000 ,1374243,2019/7/3 9:39,17.5,0,0,,,,3700,,100,1,,,17.5,平板,30,0,一装一卸,合肥市,宝山区,20190703,,,,设备
20190703,12588547854263 ,96436390579820200 ,1375266,2019/7/3 9:56,13,0,0,,,,,,,,,,13,平板,31,0,一装一卸,长丰县,嘉定区,20190703,,,,牛奶
20190703,12588547854263 ,96436390533719200 ,1380817,2019/7/3 11:32,13,0,0,,,,,,,1,,加过微信的，认识的,17,飞翼车,31,0,一装一卸,长丰县,嘉定区,20190703,,,,牛奶
20190703,12594899543689 ,96002866063896100 ,1389039,2019/7/3 15:09,6.8,1,1,,2300,,,100,,,,需自己装卸，下托盘没有平台，装货有平台，装卸货加两三百,8.2,厢式,4,23,一装一卸,肥西县,嘉定区,20190705,,20190706,,鞋子
20190703,12588612851401 ,96315273762863800 ,1374982,2019/7/3 9:51,17.5,1,0,,,,3600,,,,,,17.5,厢式,0,90,,肥东县,奉贤区,,下午,,,服装
20190703,12588827754589 ,23429835901347900 ,1376014,2019/7/3 10:10,17.5,0,0,,,,,,,,,非禁区,17.5,平板,30,0,一装一卸,蜀山区,宝山区,20190703,,,,铁架子
