日期,货源ID,司机ID,录音ID,录音时间,整车车长,是否成交,是否该司机成交,模型预测价格,司机净收入,司机出价,货主出价,定金,信息费,是否信息部,零担,备注,司机车长,司机车型,货源重量,货源体积,装卸方式,出发地区,到达地区,装货日期,装货时间,卸货日期,卸货时间,货物名称
20190627,12448970728401 ,2.36517E+16,1161080,2019/6/27 7:29,6.8,0,0,,,,1500,,,,1,"#好装好卸#无禁区#进仓费货主出
#回单#",9.6,厢式,0,28,,庐江县,浦东,20190627,,,,
20190627,12449770589190 ,2.36517E+16,1159551,2019/6/27 6:50,17.5,1,1,,4000,,,,200,,,3.5 超宽,17.5,平板,18,0,,经济开发区,宝山区,20190628,中午,,,
20190627,12450313937265 ,9.64364E+16,1164290,2019/6/27 8:17,4.2,1,1,,700,,,100,,,1,270进仓费货主微信转账，随时进仓,6.2,高栏,1,8,,庐江县,浦东,20190627,晚上,,,
20190627,12450523251929 ,9.64364E+16,1172402,2019/6/27 10:07,13,0,0,,2800,,2800,,100,,,,13,,32,0,,巢湖市,金山区,,,,,
20190627,12451113683310 ,6.00608E+17,1161222,2019/6/27 7:28,9.6,0,0,,,,2200,,,,,,9.6,厢式,15,,一装两卸,肥东县,嘉定区,20190627,,20190628,上午,
20190627,12451436737693 ,4E+18,1171697,2019/6/27 9:57,4.2,1,1,,1300,,,100,,,,司机不是本人，称自己是冷藏物流公司,4.2,,6,18,,肥东县,青浦区,,,,,
20190627,12452209040858 ,6.00608E+17,1166789,2019/6/27 8:53,4.2,0,0,,,,650,,,,1,1、散装零件,4.2,厢式,13,7,,合肥市,嘉定区,,,,,
20190627,12452422877218 ,9.58194E+16,1163316,2019/6/27 8:07,17.5,1,1,,3800,,,,,,,,,,5,0,,高新技术开发区,闵行区,,,,,
20190627,12452575559426 ,9.64364E+16,1164661,2019/6/27 8:26,9.6,0,0,,,1600,1600,,,,1,,7.7,厢式,5,0,,瑶海区,嘉定区,,,,,
20190627,12452831497368 ,9.58194E+16,1165154,2019/6/27 8:33,9.6,0,0,,,2200,1900,,,,,,,,6,0,,肥西县,奉贤区,,,,,
20190627,12452843157368 ,6.00608E+17,1164707,2019/6/27 8:27,4.2,1,1,,1100,,,,,,1,货主一开始给900，后来50分钟没有找到车，中间加价2次，最后涨到1100,7.8,飞翼车,2,4,,肥西县,浦东,,,,,
20190627,12452873594135 ,9.63153E+16,1165191,2019/6/27 8:33,13,0,0,,,,2200,200,,,1,,12.5,厢式,8,0,一装一卸,蜀山区,嘉定区,20190628,,,,
20190627,12453400291171 ,2.34298E+16,1164991,2019/6/27 8:31,9.6,0,0,,,,2100,100,,,,方便面,9.6,高栏,5,53,,合肥市,金山区,,,,,
20190627,12453466294366 ,9.64364E+16,1174885,2019/6/27 10:40,9.6,1,1,,1200,,,100,,,,有禁区、货主垫资,4.2,平板,17,0,,经济开发区,浦东,,,,,
20190627,12454005683148 ,2.34298E+16,1166704,2019/6/27 8:52,13,0,0,,,,3000,,,,,,9.6,厢式,6,65,,肥西县,奉贤区,,,,,
20190627,12454170162921 ,2.36517E+16,1167150,2019/6/27 8:57,6.8,0,0,,,,500,,50,,1,,,,0,7,,长丰县,浦东,,,,,
20190627,12454273263413 ,2.34298E+16,1173646,2019/6/27 10:24,6.8,0,0,,,,1700,,,,,#司机要价提高#,6.8,高栏,11,0,一装两卸,经济开发区,金山区,,,,,
20190627,12454416697337 ,2.36517E+16,1166545,2019/6/27 8:50,13,0,0,,,,3000,,,,2,,13,平板,33,0,,巢湖市,闵行区,,,,,
20190627,12455264308401 ,6.00608E+17,1168914,2019/6/27 9:20,6.8,0,0,,,,2000,,,,,,,,0,40,两装两卸,庐江县,浦东,,,,,
20190627,12455360974824 ,6.00608E+17,1169190,2019/6/27 9:19,6.8,0,0,,,,1000,,,,1,#1.22*1.02*1.24#3个托盘#,7.6,高栏,2.2,0,,瑶海区,南汇区,,,,,
20190627,12455835905221 ,6.00608E+17,1170184,2019/6/27 9:37,9.6,1,1,,3000,,,100,,,,货主试探从100/吨涨到120/吨，3000成交，无禁区，货主垫资,13,平板,21,52,,蜀山区,金山区,,,,,
20190627,12456179783707 ,1.51125E+16,1171650,2019/6/27 9:55,17.5,1,1,,3500,,,,100,,,全现金3400到车，有油卡3500到车，货主端满运宝支付运费,17.5,,0,100,,经济开发区,奉贤区,,,,,
20190627,12456263038544 ,6.00608E+17,1170294,2019/6/27 9:39,9.6,0,0,,,,2100,,,,,货主报价司机直接挂电话,,,8,57,,长丰县,浦东,,,,,
20190627,12456276597190 ,9.62682E+16,1179956,2019/6/27 12:30,6.8,0,0,,,,1600,,,,2,,7.7,厢式,3,0,,肥西县,浦东,20190627,下午,20190628,,
20190627,12456398153075 ,2.36517E+16,1171135,2019/6/27 9:50,6.8,0,0,,,,1100,,,,1,#50/方#棉袄#进仓#,6.8,高栏,0,22,,肥东县,浦东,20190627,上午,,,
20190627,12456573823237 ,9.64364E+16,1174997,2019/6/27 10:45,6.8,1,1,,1800,,,200,,,,#禁区#时效要求#货主垫资#,6.8,高栏,3,0,,肥东县,徐汇区,20190629,上午,20190629,晚上,
20190627,12456715121804 ,4E+18,1172989,2019/6/27 10:15,4.2,1,1,,1400,,,100,,,,,4.2,,3,0,两装两卸,巢湖市,宝山区,,,,,
20190627,12456951232228 ,4E+18,1186270,2019/6/27 15:24,13,0,0,,,,3500,,,,,嘉定要压车一天，可以上涨500,,,33,0,,长丰县,奉贤区,20190627,,,,
20190627,12457431594589 ,9.58194E+16,1172826,2019/6/27 10:14,17.5,0,0,,,,3700,,,,,,,,32,,,合肥市,宝山区,,,,,
20190627,12457776208401 ,6.00608E+17,1174563,2019/6/27 10:39,6.8,0,0,,,,,,,,,,7.2,飞翼车,0,38,,庐江县,浦东,,,,,
20190627,12458359158401 ,9.64364E+16,1175534,2019/6/27 10:54,6.8,0,0,,,,2400,,,,2,,,,0,36,两装两卸,庐江县,浦东,,,,,
20190627,12458407133075 ,9.61E+16,1176149,2019/6/27 11:02,17.5,1,1,,5000,,5000,200,,,2,,17.5,厢式,12,130,,肥东县,浦东,,,,,
20190627,12458719452763 ,9.64364E+16,1179917,2019/6/27 12:28,6.8,1,1,,1500,,,200,,,1,#快递柜#货主垫资#,,,6,29,一装一卸,肥东县,青浦区,20190627,下午,20190628,上午,
20190627,12458787063071 ,9.64364E+16,1178829,2019/6/27 12:02,6.8,1,1,,2400,,,100,,,,,7.2,飞翼车,12,0,,巢湖市,浦东,,,,,
20190627,12459261994204 ,9.63153E+16,1178711,2019/6/27 11:56,17.5,0,0,,,4500,4200,,,,,,17.5,厢式,17,110,,肥西县,金山区,,,,,
20190627,12459366143755 ,6.00608E+17,1177266,2019/6/27 11:26,6.8,0,0,,,,1700,,,,,,,,9,26,,巢湖市,浦东,,,,,
20190627,12459550452435 ,6.00608E+17,1177285,2019/6/27 11:22,6.8,1,1,,1800,2000,,,,,1,,6.8,高栏,5,26,两装两卸,肥东县,浦东,,,,,
20190627,12459637853707 ,6.00608E+17,1178067,2019/6/27 11:41,4.2,0,0,,,,600,,,,,司机垫付进仓费，实报实销,9.6,高栏,0,10,,瑶海区,浦东,,,,,
20190627,12459808970697 ,9.64364E+16,1180183,2019/6/27 12:34,13,1,1,,2500,2600,,300,,,,1、回单付款,,,10,50,,肥西县,浦东,,,,,
20190627,12460188595418 ,9.64364E+16,1182058,2019/6/27 13:33,9.6,0,0,,,,2000,,,,,需要报关,,,5,0,,经济开发区,浦东,,,,,
20190627,12460440697388 ,9.63153E+16,1178962,2019/6/27 12:05,6.8,0,0,,,,1700,,,,1,,,,9,0,,巢湖市,浦东,,,,,
20190627,12460680567515 ,6.00608E+17,1179902,2019/6/27 12:27,6.8,0,0,,,,1600,,,,,#询问司机是否之前拉过#,6.8,平板,8,0,,肥东县,闵行区,,,,,
20190627,12460897815735 ,4E+18,1179989,2019/6/27 12:31,9.6,0,0,,,,2400,,,,2,2装,9.6,高栏,0,59,两装一卸,合肥市,宝山区,20190628,晚上,,,
20190627,12461591005076 ,4E+18,1181618,2019/6/27 13:20,4.2,1,1,,1000,,,,,,1,货主垫资,4.2,厢式,3,10,,瑶海区,嘉定区,20190626,晚上,20190627,,
20190627,12461612079526 ,4E+18,1195380,2019/6/28 0:35,17.5,0,0,,,,4000,,,,,,17.5,厢式,20,100,,经济开发区,奉贤区,20190628,上午,20190629,上午,
20190627,12461670289279 ,9.61174E+16,1181309,2019/6/27 13:11,13,0,0,,,,3300,200,,,,,,,33,0,,肥东县,青浦区,,,,,
20190627,12461735453314 ,6.00608E+17,1192767,2019/6/27 18:42,6.8,0,0,,,,1000,,,,1,,7.6,厢式,6,0,,肥东县,松江区,,,,,
20190627,12461803683025 ,9.64364E+16,1192078,2019/6/27 18:14,4.2,1,1,,300,,,,,,1,,6.8,,1,1,,肥西县,奉贤区,,,,,
20190627,12461803683025 ,9.64364E+16,1192078,2019/6/27 18:14,4.2,1,1,,400,,,,,,1,,4.2,,1,1,,肥西县,奉贤区,20190627,,,,
20190627,12461920153310 ,9.64364E+16,1181943,2019/6/27 13:29,9.6,1,1,,1700,,,100,,,,物流百货,7.7,冷藏,10,0,,肥东县,青浦区,20190627,下午,20190628,上午,
20190627,12461966793231 ,9.61174E+16,1182256,2019/6/27 13:38,13,0,0,,,3100,3000,,,,,询问司机是否之前拉过，需求2.45宽,13,,20.4,0,,巢湖市,奉贤区,,,,,
20190627,12462084621995 ,9.61174E+16,1198703,2019/6/28 7:37,17.5,0,0,,,4000,3700,,,,,,17.2,厢式,18,100,,经济开发区,奉贤区,,,,,
20190627,12462092773007 ,9.64364E+16,1184885,2019/6/27 14:47,13,1,1,,3400,,,100,,,,货主自己支付运费，司机原本3300到车定下来了，后来加价100元，货主也比较乐意，货主对60公分篮板和高栏车区分不是非常清楚,13,平板,25,0,一装一卸,经济开发区,闵行区,,,,,
